<--서울특별시 공사현황 주소-->
서울특별시 관악구 봉천동 산 101-111
서울특별시 관악구 봉천동 101
서울특별시 은평구 불광동 238
서울특별시 구로구 구로동 197-11
서울특별시 관악구 신림동 538-3
서울특별시 중구 입정동 27
서울특별시 중구 인현동2가 151-1
서울특별시 송파구 문정동 136
서울특별시 송파구 문정동 136
서울특별시 송파구 문정동 136
서울특별시 송파구 문정동 55-6
서울특별시 동대문구 장안동 335-4
서울특별시 동대문구 용두동 39-1 외 21필지
서울특별시 은평구 불광동 500
서울특별시 은평구 불광동 500
서울특별시 강남구 자곡동 335
서울특별시 동대문구 휘경동 187-5
서울특별시 관악구 신림동 1639-37
서울특별시 강동구 길동 385-10
서울특별시 강북구 미아동 791-555
서울특별시 영등포구 영등포동6가 142-2
서울특별시 양천구 목동 900-4
서울특별시 송파구 방이동 52 일원
서울특별시 영등포구 영등포동2가 139
서울특별시 금천구 가산동 470-1
서울특별시 금천구 가산동 470-1
서울특별시 금천구 가산동 470-1
"서울특별시 서초구 반포동 748-12 ,15"
서울특별시 금천구 가산동 470-1
서울특별시 영등포구 신길동 3608번지 일원
서울특별시 성동구 금호동3가 1470
서울특별시 노원구 공릉동 385-4
서울특별시 금천구 가산동 371-12
서울특별시 종로구 종로1가 54 일대 18공구
서울특별시 도봉구 창동 703-4
서울특별시 종로구 종로5가 82-1
서울특별시 성동구 성수동2가 300-1 성수역 외 서울지하철 1~4호선 120개역사 및 5개 차량기지
서울특별시 노원구 상계동 602-5 노원역 9번출구 일대
서울특별시 성동구 행당동 산 17
서울특별시 강동구 상일동 450
"서울특별시 강남구 도곡동 946-11 외 2필지(946-12, 946-13)"
서울특별시 강남구 도곡동 946-11 외 2필지
서울특별시 강남구 신사동 668
서울특별시 서초구 서초동 1362 6-22 우림빌딩 3층
서울특별시 용산구 이촌동 198-1
서울특별시 금천구 가산동 505-3
서울특별시 동대문구 장안동 342-2
서울특별시 강남구 논현동 249-9
서울특별시 구로구 신도림동 433-17 外
서울특별시 금천구 가산동 452-1
서울특별시 중구 남산동2가 6-1
서울특별시 동대문구 전농동 588-1
서울특별시 서초구 서초동 1591-6 외4필지
서울특별시 동대문구 전농동 620-56 일대
서울특별시 강남구 대치동 27-1
서울특별시 노원구 중계동 9
서울특별시 강동구 고덕동 136
서울특별시 강동구 고덕동 136
서울특별시 강동구 고덕동 136
서울특별시 강동구 성내동 48-6
서울특별시 강동구 고덕동 343-2 일원
서울특별시 강남구 청담동 49-21
서울특별시 영등포구 여의도동 44-5
서울특별시 금천구 가산동 451-1
서울특별시 서대문구 합동 30
서울특별시 강서구 개화동 388-1
서울특별시 강서구 개화동 388-1
서울특별시 금천구 가산동 60-26
서울특별시 강남구 역삼동 788-28
서울특별시 성북구 안암동5가 126-1 고려대학교 안암병원
서울특별시 성북구 안암동5가 126-1 고려대학교 안안병원
"서울특별시 용산구 한강로3가 40-15 668,669"
서울특별시 강서구 공항동 1373 (김포국제공항 국제선 계류장)
서울특별시 강서구 방화동 886
